BLOCK,TRANSECT,PLOT,MODULE,SUBMODULE,CORNER,SAMPLING_ID,SPECIES,SPECIES_CORRECTED,SPCODE,FREQUENCY,DATE,DATE_CORRECTED,>1M,CONERCONER,DATE OF FIRE,TIME SINCE FIRE (DAYS),SPECIES_NEW_NAMES,NEW_SPCODE,
F1,1,1,1,10,R,F1_1_1_1_10_R,AMMANNIA LATIFOLIA       ,AMMANNIA LATIFOLIA       ,AMMLAT,4,03/06/98,1998-03-06,,,,,,,
F1,1,1,1,10,R,F1_1_1_1_10_R,CYPERUS HASPANS        ,CYPERUS HASPAN,CYPHAS,18,03/06/98,1998-03-06,,,,,,,
F1,1,1,1,10,R,F1_1_1_1_10_R,LUDWIGIA OCTOVALVIS          ,LUDWIGIA OCTOVALVIS,LUDOCT,2,03/06/98,1998-03-06,,,,,,,
F1,1,1,2,0.1,A,F1_1_1_2_0.1_A,CLADIUM JAMAICENSE       ,CLADIUM JAMAICENSE,CLAJAM,1,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.1,A,F1_1_1_2_0.1_A,DICHANTHELIUM ACICULARE    ,DICHANTHELIUM ACICULARE,DICACI,1,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.1,A,F1_1_1_2_0.1_A,EVOLVULUS SERICEUS       ,EVOLVULUS SERICEUS,EVOSER,1,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.1,A,F1_1_1_2_0.1_A,HYPERICUM HYPERICOIDES     ,HYPERICUM HYPERICOIDES,HYPHYP,1,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.1,A,F1_1_1_2_0.1_A,HYPTIS ALATA          ,HYPTIS ALATA,HYPALA,1,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.1,A,F1_1_1_2_0.1_A,JUSTICIA OVATA         ,JUSTICIA OVATA,JUSOVA,1,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.1,A,F1_1_1_2_0.1_A,LUDWIGIA MICROCARPA      ,LUDWIGIA MICROCARPA,LUDMIC,1,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.1,A,F1_1_1_2_0.1_A,MELANTHERA ANGUSTIFOLIA    ,MELANTHERA ANGUSTIFOLIA,MELANG,1,02/02/98,1998-02-02,,,,,MELANTHERA NIVEA,MELNIV,
F1,1,1,2,0.1,A,F1_1_1_2_0.1_A,MUHLENBERGIA FILIPES      ,MUHLENBERGIA FILIPES,MUHFIL,1,02/02/98,1998-02-02,,,,,MUHLENBERGIA CAPILLARIS VAR. FILIPES,MUHCAPFIL,
F1,1,1,2,0.1,A,F1_1_1_2_0.1_A,SISYRINCHIUM MIAMIENSE     ,SISYRINCHIUM MIAMIENSE,SISMIA,1,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.1,A,F1_1_1_2_0.1_A,TEUCRIUM CANADENSE       ,TEUCRIUM CANADENSE,TEUCAN,1,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.3,A,F1_1_1_2_0.3_A,ACACIA PINETORUM        ,ACACIA PINETORUM,ACAPIN,1,02/02/98,1998-02-02,,,,,VACHELLIA FARNESIANA VAR. PINETORUM,VACFARPIN,
F1,1,1,2,0.3,A,F1_1_1_2_0.3_A,EUPATORIUM COELESTINUM   ,EUPATORIUM COELESTINUM,EUPCOE,3,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.3,A,F1_1_1_2_0.3_A,CLADIUM JAMAICENSE       ,CLADIUM JAMAICENSE,CLAJAM,8,02/02/98,1998-02-02,,,,,,,
F1,1,1,2,0.3,A,F1_1_1_2_0.3_A,CYNOCTONUM SESSILIFOLIUM    ,CYNOCTONUM SESSILIFOLIUM,CYNSES,3,02/02/98,1998-02-02,,,,,,,
